productid,productname,category
1,"herbisida obat pembasmi rumput liar, gulma, alang2 - gross",Pestisida & Obat Pertanian
2,"DESTHIN obat hama tanaman, ulat, kutu putih, hama daun",Pestisida & Obat Pertanian
3,Antracol Fungisida-Obat Jamur Tanaman 70WP-250gr,Pestisida & Obat Pertanian
4,100ml Pestisida Organik Neem Oil /Minyak Mimba dari Biosfer Organik,Pestisida & Obat Pertanian
5,"obat pembasmi pohon dan akar, racun pohon, starlon herbisida",Pestisida & Obat Pertanian
6,[ BUMBU DAPUR ] REMPAH  ALL VARIAN / MURNI BUMBU MASAK / BUMBUTIGER - Garlic,Produk Pertanian Segar
7,100gr Jahe Kering / Dried Ginger/ Rempah / JSR 100% PREMIUM QUALITY,Produk Pertanian Segar
8,BIJI MAHONI 1 KG KERING SUPER REMPAH BU RISMA - 100 gram,Produk Pertanian Segar
9,Bumbu Rempah Asli Daribumi - Ketumbar Bubuk,Produk Pertanian Segar
10,Kayu Manis Batang Berat 1Kg Rempah Bu Risma - 500 gram,Produk Pertanian Segar
11,KIRIM INSTAN Paket Sayur Potong Sop Lodeh Capcay Sayur Asem - Sop,Produk Pertanian Segar
12,Mangga Harum Manis (1kg) Sayurbox,Produk Pertanian Segar
13,Pepaya California Sayurbox,Produk Pertanian Segar
14,Pisang (Banana) Cavendish (500gr) Sayurbox,Produk Pertanian Segar
15,selada keriting fresh,Produk Pertanian Segar
16,Wortel Berastagi Baby Konvensional 500 gram Sayurbox,Produk Pertanian Segar
17,Booster Pump Waterplus BR 220 DPA Mesin Pendorong Air Otomatis,Sarana dan Peralatan Irigasi
18,Connector Offtake Selang Drip,Sarana dan Peralatan Irigasi
19,"Dop 3 in PVC / Dop 3"" / Tutup Pipa",Sarana dan Peralatan Irigasi
20,DRIP TETES BOTOL Water Cone Drip IRIGASI TETES Kran Otomatis Botol - Drip belimbing,Sarana dan Peralatan Irigasi
21,Irigasi Tetes otomatis / Drip Tetes Sistem Alat Irigasi Drip Botol AM,Sarana dan Peralatan Irigasi
22,MOLLAR PP25W Pompa Air DC 12 Volt Push Pump 12V 25 Watt,Sarana dan Peralatan Irigasi
23,"SELANG AIR ANTI LUMUT CUCI MOBIL / SELANG AIR DAN WATERGUN SPRAY - 3 meter, 1per2inc",Sarana dan Peralatan Irigasi
24,SELANG AIR PERMETER / SELANG ANTI LUMUT 1/2 5/8 3/4 INCH SELANG TAMAN - 1/2,Sarana dan Peralatan Irigasi
25,"SELANG DRIP IRIGASI 3/4"" 180 METER 160 MIKRON LEBAR 4 CM TANI LESTARI",Sarana dan Peralatan Irigasi
26,EVCO Extra Virgin Coconut Oil 500ml Minyak Kelapa Murni Asli VCO,Produk Olahan Pertanian
27,VCO MURNI 1 LITER Asli Minyak Kelapa Cold Pressed Virgin Coconut Oil 1L Kualitas Terbaik Alam,Produk Olahan Pertanian
28,Lampu UV Grow Light Spectrum Gantung Sorot Tanaman Hidroponik LED 50W - USB 21LED 10W,Teknologi Pertanian
29,Jaring atap/teduh Paranet shade net 75% list terpal mata ayam,Perlengkapan Rumah Kaca dan Pembibitan
30,Bubble Wrap Hitam Surabaya! Kirim Kilat 1.25M x 50M! Termurah ! - Medium 2.2Kg,Bahan Pengemasan dan Logistik
31,BUBBLE WRAP ROLL 30CM X 50 METER BUBLE WRAP - Hitam Ekonomis,Bahan Pengemasan dan Logistik
